,ID,p7,p12,p5,p15,p9,p2,p17,p18,p20,p6
131,97,3,4,4,4,3,3,3,3,3,3
132,98,3,2,2,4,2,3,4,4,4,2
133,98,4,4,4,4,4,4,4,4,4,3
134,99,4,3,3,3,3,3,3,3,3,3
135,100,4,3,3,4,4,3,4,4,3,4
136,100,1,4,4,1,4,4,4,4,4,4
137,101,3,3,3,3,3,3,4,3,3,3
138,102,3,3,3,4,3,3,4,3,4,3
139,103,3,3,3,4,3,3,4,4,4,3
140,103,3,4,2,4,4,3,4,3,4,4
141,104,4,3,4,4,3,4,3,4,4,3
142,105,3,3,3,4,4,3,4,4,4,4
143,106,2,4,4,4,3,3,4,3,4,4
144,106,2,4,3,4,3,4,3,3,3,3
145,107,4,2,2,3,2,3,2,3,3,2
146,107,4,2,3,4,3,3,3,3,3,2
147,108,4,3,3,4,3,3,3,3,3,3
148,109,3,3,3,4,3,3,3,3,3,2
149,111,4,2,4,4,2,4,4,4,4,2
150,111,4,2,2,4,2,3,3,3,2,2
151,113,3,4,2,4,4,3,4,4,4,3
152,116,3,4,4,4,4,2,3,4,3,4
153,116,2,3,3,3,3,3,3,3,3,3
154,116,4,3,2,4,3,3,3,3,3,3
155,117,3,3,2,4,3,3,3,3,4,3
156,117,3,4,4,4,4,4,3,3,4,2
157,118,4,2,4,4,2,3,3,3,4,3
158,120,3,3,2,4,2,3,3,3,4,2
159,120,4,3,3,4,3,3,4,3,4,3
160,121,1,4,4,3,3,4,3,3,4,4
161,121,4,3,2,4,3,4,3,3,3,4
162,122,4,4,3,4,3,3,4,3,3,3
163,123,2,2,3,3,2,3,3,2,3,3
164,123,2,4,4,4,4,4,4,4,4,4
165,123,4,4,4,4,4,4,4,4,4,2
166,124,4,4,4,4,4,4,4,4,4,4
167,125,4,3,3,4,3,3,3,3,3,3
168,126,3,2,3,4,4,3,2,4,3,3
169,126,4,4,4,4,4,4,4,4,4,4
170,127,1,4,3,3,4,2,3,1,2,4
171,128,3,3,2,4,2,3,4,3,3,2
172,128,4,4,4,4,4,4,4,3,4,3
173,129,4,4,2,2,4,1,3,3,3,4
174,130,3,2,2,2,2,3,2,3,3,2
175,131,3,3,3,4,4,4,4,4,4,3
176,132,3,4,2,4,4,3,4,3,4,3
177,133,4,3,3,4,3,3,4,3,4,3
178,133,4,3,3,4,3,3,4,3,3,3
179,134,3,4,2,4,3,3,4,3,4,3
180,134,3,3,1,4,2,3,3,3,4,2
181,135,4,3,4,4,4,4,4,4,4,4
182,135,4,4,4,4,4,4,4,4,4,4
183,136,4,4,3,4,4,4,3,3,3,3
184,136,3,4,3,4,3,4,4,3,4,3
185,137,4,3,3,4,3,3,4,4,4,3
186,138,3,3,4,4,4,3,4,4,4,3
187,139,4,3,3,3,4,4,2,4,3,3
188,140,2,3,3,4,3,4,4,4,4,3
189,140,4,4,4,4,1,4,4,4,4,4
190,141,4,4,4,4,4,4,4,4,4,2
